"Label (Grouping)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home"
"Agoura Hills-Malibu CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","30.4%"
"        Margin of Error","±2.6"
"    Male",""
"        Estimate","31.4%"
"        Margin of Error","±3.4"
"    Female",""
"        Estimate","29.3%"
"        Margin of Error","±3.1"
"Compton CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","6.2%"
"        Margin of Error","±0.6"
"    Male",""
"        Estimate","4.5%"
"        Margin of Error","±0.6"
"    Female",""
"        Estimate","8.2%"
"        Margin of Error","±0.9"
"Downey-Norwalk CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","8.9%"
"        Margin of Error","±0.5"
"    Male",""
"        Estimate","7.1%"
"        Margin of Error","±0.7"
"    Female",""
"        Estimate","11.2%"
"        Margin of Error","±0.8"
"East San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","11.4%"
"        Margin of Error","±0.5"
"    Male",""
"        Estimate","9.8%"
"        Margin of Error","±0.5"
"    Female",""
"        Estimate","13.2%"
"        Margin of Error","±0.7"
"Inglewood CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","9.1%"
"        Margin of Error","±0.6"
"    Male",""
"        Estimate","7.0%"
"        Margin of Error","±0.6"
"    Female",""
"        Estimate","11.3%"
"        Margin of Error","±0.8"
"Long Beach-Lakewood CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","14.1%"
"        Margin of Error","±0.7"
"    Male",""
"        Estimate","12.2%"
"        Margin of Error","±0.8"
"    Female",""
"        Estimate","16.2%"
"        Margin of Error","±0.8"
"Los Angeles CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","18.7%"
"        Margin of Error","±0.3"
"    Male",""
"        Estimate","17.3%"
"        Margin of Error","±0.4"
"    Female",""
"        Estimate","20.3%"
"        Margin of Error","±0.4"
"Newhall CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","16.2%"
"        Margin of Error","±0.7"
"    Male",""
"        Estimate","14.5%"
"        Margin of Error","±0.9"
"    Female",""
"        Estimate","18.2%"
"        Margin of Error","±1.3"
"North Antelope Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","9.6%"
"        Margin of Error","±1.0"
"    Male",""
"        Estimate","8.5%"
"        Margin of Error","±1.4"
"    Female",""
"        Estimate","10.8%"
"        Margin of Error","±1.4"
"Palos Verdes CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","19.2%"
"        Margin of Error","±1.5"
"    Male",""
"        Estimate","17.7%"
"        Margin of Error","±1.9"
"    Female",""
"        Estimate","21.2%"
"        Margin of Error","±2.4"
"Pasadena CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","23.6%"
"        Margin of Error","±1.2"
"    Male",""
"        Estimate","23.3%"
"        Margin of Error","±1.5"
"    Female",""
"        Estimate","24.0%"
"        Margin of Error","±1.4"
"San Fernando Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","17.0%"
"        Margin of Error","±0.4"
"    Male",""
"        Estimate","15.6%"
"        Margin of Error","±0.5"
"    Female",""
"        Estimate","18.7%"
"        Margin of Error","±0.5"
"Santa Monica CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","33.1%"
"        Margin of Error","±2.1"
"    Male",""
"        Estimate","32.1%"
"        Margin of Error","±2.9"
"    Female",""
"        Estimate","34.1%"
"        Margin of Error","±3.1"
"South Antelope Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","9.5%"
"        Margin of Error","±0.8"
"    Male",""
"        Estimate","7.9%"
"        Margin of Error","±1.0"
"    Female",""
"        Estimate","11.6%"
"        Margin of Error","±1.2"
"South Bay Cities CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","29.1%"
"        Margin of Error","±1.5"
"    Male",""
"        Estimate","27.2%"
"        Margin of Error","±2.0"
"    Female",""
"        Estimate","31.5%"
"        Margin of Error","±2.2"
"South Gate-East Los Angeles CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","5.9%"
"        Margin of Error","±0.5"
"    Male",""
"        Estimate","4.1%"
"        Margin of Error","±0.5"
"    Female",""
"        Estimate","8.4%"
"        Margin of Error","±0.8"
"Southwest San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","11.7%"
"        Margin of Error","±0.7"
"    Male",""
"        Estimate","11.2%"
"        Margin of Error","±0.9"
"    Female",""
"        Estimate","12.3%"
"        Margin of Error","±0.9"
"Torrance CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","18.5%"
"        Margin of Error","±1.3"
"    Male",""
"        Estimate","17.2%"
"        Margin of Error","±1.6"
"    Female",""
"        Estimate","20.1%"
"        Margin of Error","±1.9"
"Upper San Gabriel Valley CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","12.9%"
"        Margin of Error","±0.8"
"    Male",""
"        Estimate","11.7%"
"        Margin of Error","±1.0"
"    Female",""
"        Estimate","14.2%"
"        Margin of Error","±1.0"
"Whittier CCD, Los Angeles County, California",""
"    Total",""
"        Estimate","10.4%"
"        Margin of Error","±0.7"
"    Male",""
"        Estimate","9.0%"
"        Margin of Error","±0.8"
"    Female",""
"        Estimate","12.0%"
"        Margin of Error","±1.0"
