"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Estimate","3,252","","86.1%","68.9%","17.2%","12.7%","4.5%","0.0%","1.12","9.3%","0.9%","1.1%","2.6%","0.0%","","100.0%","92.7%","7.3%","0.0%","100.0%","62.0%","38.0%","0.0%","0.0%","0.0%","0.0%","100.0%","3,252","","6.7%","13.6%","0.0%","20.0%","7.8%","12.9%","6.5%","8.5%","5.3%","18.7%","","0.1%","7.7%","7.0%","9.7%","5.8%","23.9%","5.9%","11.2%","28.7%","40.9","","3,244","2.8%","16.3%","19.6%","61.3%","","35.1%","38.8%","36.3%","43.7%","49.3%","0.0%"
"        Margin of Error","±884","","±7.8","±8.7","±11.0","±10.0","±5.8","±1.1","±0.08","±6.0","±1.4","±1.7","±3.7","±1.1","","±1.1","±3.8","±3.8","±1.1","±1.1","±9.5","±9.5","±1.1","±1.1","±1.1","±1.1","±1.1","±884","","±4.9","±6.0","±1.1","±6.6","±4.0","±5.0","±5.1","±4.1","±6.0","±5.9","","±0.1","±3.8","±6.5","±4.4","±3.9","±8.8","±4.3","±5.4","±6.4","±3.4","","±884","±2.8","±9.0","±11.2","±15.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,050","","85.0%","60.1%","24.9%","17.8%","7.1%","0.0%","1.19","9.3%","0.0%","1.7%","4.0%","0.0%","","100.0%","90.7%","9.3%","0.0%","100.0%","57.8%","42.2%","0.0%","0.0%","0.0%","0.0%","100.0%","2,050","","8.7%","17.0%","0.0%","18.1%","10.2%","15.4%","4.9%","2.1%","7.8%","15.8%","","0.0%","7.4%","7.1%","2.1%","5.3%","30.0%","3.6%","10.4%","34.2%","43.9","","2,047","1.8%","14.5%","15.6%","68.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±811","","±11.8","±10.9","±14.9","±14.9","±9.0","±1.7","±0.11","±8.3","±1.7","±2.8","±6.4","±1.7","","±1.7","±5.6","±5.6","±1.7","±1.7","±12.7","±12.7","±1.7","±1.7","±1.7","±1.7","±1.7","±811","","±8.3","±8.0","±1.7","±7.2","±6.3","±7.4","±6.2","±2.1","±9.1","±5.8","","±1.7","±4.3","±9.0","±2.6","±4.2","±13.2","±3.7","±7.2","±8.5","±5.4","","±811","±2.3","±10.0","±11.2","±17.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,202","","88.0%","83.9%","4.1%","4.1%","0.0%","0.0%","1.02","9.5%","2.5%","0.0%","0.0%","0.0%","","100.0%","96.2%","3.8%","0.0%","100.0%","69.2%","30.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,202","","3.2%","7.7%","0.0%","23.1%","3.8%","8.7%","9.1%","19.6%","1.1%","23.8%","","0.2%","8.3%","7.0%","22.5%","6.7%","13.4%","10.0%","12.6%","19.2%","35.6","","1,197","4.5%","19.4%","26.6%","49.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±226","","±7.5","±9.1","±5.2","±5.2","±2.9","±2.9","±0.03","±7.1","±3.9","±2.9","±2.9","±2.9","","±2.9","±4.3","±4.3","±2.9","±2.9","±13.7","±13.7","±2.9","±2.9","±2.9","±2.9","±2.9","±226","","±4.1","±6.5","±2.9","±9.8","±4.6","±4.5","±6.1","±11.5","±1.7","±11.8","","±0.3","±6.6","±7.3","±12.3","±5.9","±7.8","±8.0","±7.3","±9.8","±6.2","","±225","±5.9","±10.1","±13.6","±15.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2324, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,514","","83.8%","73.5%","10.3%","7.4%","1.6%","1.3%","1.07","12.8%","0.0%","0.0%","0.2%","3.2%","","100.0%","97.0%","3.0%","0.0%","100.0%","63.5%","36.5%","0.0%","0.0%","0.0%","0.0%","100.0%","3,402","","9.1%","4.8%","3.5%","10.9%","4.6%","20.1%","9.2%","10.1%","3.6%","24.2%","","0.0%","3.6%","10.1%","16.7%","3.1%","19.4%","13.3%","15.7%","18.1%","37.6","","3,514","2.8%","19.1%","33.9%","44.2%","","10.9%","13.3%","16.6%","22.5%","30.8%","1.7%"
"        Margin of Error","±425","","±4.2","±5.1","±4.3","±3.9","±1.3","±1.6","±0.03","±3.7","±1.0","±1.0","±0.3","±2.4","","±1.0","±2.5","±2.5","±1.0","±1.0","±4.8","±4.8","±1.0","±1.0","±1.0","±1.0","±1.0","±444","","±4.0","±3.2","±2.4","±3.6","±2.2","±4.8","±3.5","±3.3","±2.8","±5.2","","±1.0","±3.3","±3.4","±4.5","±1.9","±5.2","±3.7","±3.8","±5.6","±2.8","","±425","±1.9","±6.5","±8.5","±9.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,713","","86.4%","75.2%","11.2%","6.4%","2.7%","2.0%","1.08","12.3%","0.0%","0.0%","0.4%","0.9%","","100.0%","95.0%","5.0%","0.0%","100.0%","56.7%","43.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,697","","9.5%","9.7%","4.8%","11.4%","3.9%","18.8%","2.5%","8.0%","3.2%","28.0%","","0.0%","3.5%","11.1%","13.9%","4.0%","19.4%","11.1%","18.2%","18.6%","37.5","","1,713","4.4%","15.2%","36.5%","43.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±231","","±4.4","±6.4","±5.2","±4.4","±2.4","±2.5","±0.04","±4.2","±2.0","±2.0","±0.7","±1.5","","±2.0","±4.9","±4.9","±2.0","±2.0","±7.2","±7.2","±2.0","±2.0","±2.0","±2.0","±2.0","±234","","±4.5","±6.4","±3.5","±4.8","±3.0","±6.8","±2.8","±4.9","±2.9","±8.1","","±2.0","±3.3","±5.4","±5.4","±2.9","±8.1","±5.4","±7.2","±6.2","±2.9","","±231","±3.4","±5.8","±10.4","±10.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,801","","81.3%","71.9%","9.4%","8.4%","0.5%","0.6%","1.07","13.3%","0.0%","0.0%","0.0%","5.3%","","100.0%","98.9%","1.1%","0.0%","100.0%","70.0%","30.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,705","","8.6%","0.0%","2.1%","10.4%","5.2%","21.5%","15.8%","12.1%","3.9%","20.4%","","0.0%","3.8%","9.1%","19.5%","2.1%","19.3%","15.4%","13.1%","17.6%","37.8","","1,801","1.2%","22.8%","31.4%","44.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±287","","±6.2","±6.9","±6.1","±6.0","±0.8","±0.9","±0.04","±5.6","±1.9","±1.9","±1.9","±4.0","","±1.9","±1.2","±1.2","±1.9","±1.9","±7.2","±7.2","±1.9","±1.9","±1.9","±1.9","±1.9","±298","","±6.9","±2.0","±3.0","±5.0","±2.6","±6.9","±5.5","±5.1","±3.6","±7.4","","±2.0","±4.2","±4.8","±8.3","±2.0","±6.1","±6.4","±5.0","±7.3","±4.5","","±287","±1.5","±10.2","±9.3","±12.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2325, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,191","","79.3%","70.4%","8.9%","6.1%","2.8%","0.0%","1.07","13.4%","1.4%","0.0%","0.5%","5.3%","","100.0%","98.4%","1.6%","0.0%","100.0%","54.9%","45.1%","0.0%","0.0%","0.0%","0.0%","100.0%","2,075","","5.3%","4.4%","3.9%","11.8%","9.0%","26.5%","3.8%","13.6%","1.2%","20.5%","","2.6%","2.7%","6.7%","25.0%","3.0%","14.7%","10.3%","11.0%","24.1%","37.2","","2,187","5.3%","27.6%","25.7%","41.3%","","8.7%","11.2%","18.8%","28.2%","34.2%","7.3%"
"        Margin of Error","±332","","±7.4","±9.0","±5.1","±4.0","±3.0","±1.6","±0.04","±6.2","±1.7","±1.6","±0.8","±4.7","","±1.6","±1.5","±1.5","±1.6","±1.6","±8.5","±8.5","±1.6","±1.6","±1.6","±1.6","±1.6","±335","","±3.8","±3.7","±3.1","±5.7","±4.5","±8.1","±3.1","±6.2","±1.2","±6.4","","±2.2","±3.1","±4.7","±10.2","±3.0","±5.6","±6.0","±4.9","±8.7","±3.8","","±331","±3.4","±9.0","±8.8","±11.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,229","","88.0%","78.1%","9.9%","4.9%","5.0%","0.0%","1.07","8.1%","2.5%","0.0%","0.0%","1.4%","","100.0%","97.7%","2.3%","0.0%","100.0%","42.4%","57.6%","0.0%","0.0%","0.0%","0.0%","100.0%","1,212","","7.1%","7.6%","4.1%","13.0%","9.2%","19.2%","1.7%","17.9%","0.3%","20.0%","","3.3%","4.6%","5.0%","27.3%","5.2%","6.8%","14.7%","11.1%","21.9%","37.1","","1,225","3.3%","31.3%","26.2%","39.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±237","","±7.9","±10.5","±6.8","±4.7","±5.4","±2.8","±0.05","±5.8","±3.0","±2.8","±2.8","±2.2","","±2.8","±2.6","±2.6","±2.8","±2.8","±13.2","±13.2","±2.8","±2.8","±2.8","±2.8","±2.8","±243","","±5.6","±6.4","±4.5","±7.6","±5.8","±6.4","±2.3","±10.1","±0.9","±7.6","","±3.5","±5.3","±5.6","±13.7","±5.2","±4.0","±9.3","±7.0","±12.0","±5.9","","±236","±3.1","±11.6","±10.8","±13.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","962","","68.2%","60.5%","7.7%","7.7%","0.0%","0.0%","1.06","20.3%","0.0%","0.0%","1.2%","10.3%","","100.0%","99.3%","0.7%","0.0%","100.0%","70.8%","29.2%","0.0%","0.0%","0.0%","0.0%","100.0%","863","","2.8%","0.0%","3.5%","10.1%","8.8%","36.7%","6.8%","7.5%","2.4%","21.3%","","1.6%","0.0%","8.9%","21.7%","0.0%","25.7%","4.1%","10.9%","27.1%","37.2","","962","8.0%","22.9%","25.2%","44.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±220","","±11.2","±11.2","±5.8","±5.8","±3.6","±3.6","±0.05","±9.3","±3.6","±3.6","±1.9","±8.6","","±3.6","±1.2","±1.2","±3.6","±3.6","±14.0","±14.0","±3.6","±3.6","±3.6","±3.6","±3.6","±204","","±3.8","±4.0","±3.3","±8.6","±6.7","±14.6","±7.4","±5.2","±2.7","±11.1","","±2.6","±4.0","±8.0","±13.7","±4.0","±10.7","±4.6","±7.8","±11.8","±4.6","","±220","±6.6","±12.3","±9.7","±13.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2326, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,867","","91.3%","83.8%","7.5%","5.7%","1.8%","0.0%","1.05","6.9%","0.0%","0.0%","1.8%","0.0%","","100.0%","98.4%","1.6%","0.0%","100.0%","52.9%","47.1%","0.0%","0.0%","0.0%","0.0%","100.0%","2,867","","7.8%","9.2%","3.3%","11.2%","7.1%","19.8%","2.1%","14.6%","3.0%","21.8%","","0.3%","4.1%","7.5%","11.0%","4.8%","30.4%","14.3%","6.3%","21.2%","39.3","","2,867","2.5%","25.6%","30.1%","41.8%","","15.1%","16.5%","21.2%","27.3%","26.2%","2.5%"
"        Margin of Error","±433","","±4.6","±6.0","±5.1","±4.9","±2.3","±1.2","±0.03","±3.7","±1.2","±1.2","±2.8","±1.2","","±1.2","±1.7","±1.7","±1.2","±1.2","±6.2","±6.2","±1.2","±1.2","±1.2","±1.2","±1.2","±433","","±4.2","±5.7","±3.0","±6.7","±3.8","±6.8","±2.2","±6.0","±3.9","±8.5","","±1.1","±3.5","±3.5","±5.1","±4.2","±9.5","±4.9","±3.7","±6.7","±4.4","","±433","±1.9","±9.2","±10.9","±11.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,600","","93.1%","82.6%","10.4%","7.8%","2.7%","0.0%","1.06","5.3%","0.0%","0.0%","1.6%","0.0%","","100.0%","97.1%","2.9%","0.0%","100.0%","43.0%","57.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,600","","9.3%","14.6%","2.8%","17.6%","5.6%","18.1%","0.8%","11.3%","0.0%","20.0%","","0.6%","2.4%","8.4%","7.7%","8.7%","34.8%","10.7%","6.1%","20.8%","38.7","","1,600","4.5%","22.8%","30.6%","42.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±340","","±4.7","±9.1","±8.5","±8.7","±3.3","±2.2","±0.05","±4.0","±2.2","±2.2","±2.6","±2.2","","±2.2","±3.1","±3.1","±2.2","±2.2","±11.0","±11.0","±2.2","±2.2","±2.2","±2.2","±2.2","±340","","±6.2","±9.0","±3.2","±10.9","±4.2","±8.2","±1.3","±8.6","±2.2","±9.2","","±2.0","±3.5","±4.8","±5.5","±7.9","±10.4","±6.0","±5.0","±8.2","±5.4","","±340","±3.4","±8.8","±11.7","±12.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,267","","89.2%","85.3%","3.9%","3.1%","0.8%","0.0%","1.02","8.8%","0.0%","0.0%","2.0%","0.0%","","100.0%","100.0%","0.0%","0.0%","100.0%","65.4%","34.6%","0.0%","0.0%","0.0%","0.0%","100.0%","1,267","","6.0%","2.4%","4.0%","3.0%","8.9%","22.0%","3.8%","18.9%","6.7%","24.2%","","0.0%","6.3%","6.4%","15.1%","0.0%","24.9%","18.9%","6.6%","21.9%","40.1","","1,267","0.0%","29.1%","29.5%","41.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±233","","±7.5","±8.7","±4.8","±4.1","±1.2","±2.7","±0.03","±6.9","±2.7","±2.7","±3.1","±2.7","","±2.7","±2.7","±2.7","±2.7","±2.7","±10.6","±10.6","±2.7","±2.7","±2.7","±2.7","±2.7","±233","","±5.0","±3.8","±5.3","±4.5","±6.6","±10.1","±4.3","±10.9","±8.5","±13.2","","±2.7","±6.0","±5.3","±7.6","±2.7","±12.2","±10.5","±4.1","±9.6","±6.2","","±233","±2.7","±12.6","±12.1","±13.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2327, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,730","","80.8%","71.6%","9.2%","4.6%","4.2%","0.4%","1.07","10.8%","3.2%","0.0%","1.8%","3.3%","","100.0%","94.8%","5.2%","0.0%","100.0%","59.1%","40.9%","0.0%","0.0%","0.0%","0.0%","100.0%","2,639","","4.9%","10.2%","4.4%","10.8%","9.0%","14.2%","4.1%","15.5%","4.6%","22.2%","","2.8%","4.1%","5.4%","12.2%","2.7%","34.0%","10.6%","14.3%","14.1%","37.1","","2,714","5.0%","17.4%","26.6%","51.1%","","20.5%","28.0%","23.4%","35.9%","34.1%","0.0%"
"        Margin of Error","±377","","±6.6","±7.1","±3.6","±2.5","±2.6","±0.7","±0.03","±4.5","±3.6","±1.3","±2.0","±2.5","","±1.3","±4.4","±4.4","±1.3","±1.3","±7.6","±7.6","±1.3","±1.3","±1.3","±1.3","±1.3","±371","","±2.7","±4.0","±3.4","±4.5","±3.4","±5.1","±2.8","±6.2","±2.3","±4.8","","±2.7","±2.5","±2.7","±4.2","±1.9","±5.2","±3.8","±3.9","±4.8","±3.4","","±376","±3.4","±6.1","±9.8","±11.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,330","","91.4%","84.1%","7.3%","3.8%","2.6%","0.9%","1.05","6.3%","2.3%","0.0%","0.0%","0.0%","","100.0%","94.1%","5.9%","0.0%","100.0%","47.8%","52.2%","0.0%","0.0%","0.0%","0.0%","100.0%","1,330","","7.7%","16.8%","1.8%","15.7%","7.7%","7.6%","1.5%","19.2%","4.0%","18.0%","","0.0%","0.7%","4.8%","9.2%","3.6%","43.2%","9.8%","15.0%","13.7%","40.2","","1,330","2.3%","14.5%","30.4%","52.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±215","","±5.6","±7.4","±4.4","±3.5","±2.3","±1.4","±0.03","±4.4","±2.8","±2.6","±2.6","±2.6","","±2.6","±4.3","±4.3","±2.6","±2.6","±9.3","±9.3","±2.6","±2.6","±2.6","±2.6","±2.6","±215","","±4.8","±6.9","±2.2","±6.8","±5.0","±5.0","±1.9","±10.2","±3.4","±6.4","","±2.6","±1.1","±3.2","±6.0","±3.2","±8.3","±5.5","±5.8","±6.7","±5.0","","±215","±2.5","±7.7","±10.7","±13.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,400","","70.9%","59.9%","11.0%","5.4%","5.6%","0.0%","1.10","15.1%","4.0%","0.0%","3.6%","6.5%","","100.0%","95.5%","4.5%","0.0%","100.0%","69.9%","30.1%","0.0%","0.0%","0.0%","0.0%","100.0%","1,309","","2.0%","3.6%","7.1%","5.8%","10.3%","20.9%","6.8%","11.8%","5.3%","26.4%","","5.6%","7.6%","6.0%","15.1%","1.8%","24.6%","11.4%","13.5%","14.4%","34.0","","1,384","7.6%","20.1%","23.0%","49.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±235","","±9.5","±9.6","±4.1","±2.9","±3.7","±2.5","±0.04","±7.3","±4.7","±2.5","±3.9","±4.9","","±2.5","±5.2","±5.2","±2.5","±2.5","±9.3","±9.3","±2.5","±2.5","±2.5","±2.5","±2.5","±227","","±2.8","±3.4","±6.0","±4.7","±5.0","±8.5","±5.0","±6.7","±3.7","±7.6","","±5.5","±4.7","±4.2","±7.1","±1.8","±7.6","±5.4","±5.9","±7.0","±4.7","","±235","±5.3","±7.8","±11.5","±12.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 2328, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,845","","82.2%","70.8%","11.3%","10.9%","0.4%","0.0%","1.08","7.2%","0.0%","0.7%","3.8%","6.2%","","100.0%","93.4%","6.6%","0.0%","100.0%","62.6%","37.4%","0.0%","0.0%","0.0%","0.0%","100.0%","1,731","","6.0%","6.4%","1.0%","13.8%","4.3%","24.5%","5.5%","11.0%","1.4%","26.1%","","0.0%","4.5%","14.2%","14.2%","1.0%","30.4%","8.0%","12.4%","15.3%","35.6","","1,845","5.3%","24.4%","27.3%","43.0%","","18.6%","27.4%","23.6%","34.7%","32.5%","9.4%"
"        Margin of Error","±346","","±6.7","±7.3","±3.8","±3.8","±0.6","±1.9","±0.03","±3.4","±1.9","±1.0","±5.2","±3.5","","±1.9","±3.8","±3.8","±1.9","±1.9","±10.2","±10.2","±1.9","±1.9","±1.9","±1.9","±1.9","±309","","±2.9","±4.0","±1.5","±4.3","±2.3","±6.7","±3.0","±3.5","±1.5","±6.2","","±2.0","±2.4","±9.0","±4.3","±1.1","±7.4","±4.6","±4.8","±5.3","±3.8","","±346","±3.8","±10.5","±8.5","±11.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,178","","82.8%","74.6%","8.1%","8.1%","0.0%","0.0%","1.05","5.3%","0.0%","1.0%","6.0%","4.9%","","100.0%","90.9%","9.1%","0.0%","100.0%","59.0%","41.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,120","","8.1%","7.2%","1.6%","12.5%","3.9%","27.1%","8.5%","12.2%","1.1%","17.7%","","0.0%","5.9%","16.4%","8.2%","0.0%","36.1%","8.2%","13.1%","12.1%","34.8","","1,178","5.3%","28.1%","26.8%","39.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±263","","±8.1","±9.4","±5.2","±5.2","±2.9","±2.9","±0.04","±3.6","±2.9","±1.5","±8.2","±4.0","","±2.9","±5.3","±5.3","±2.9","±2.9","±12.2","±12.2","±2.9","±2.9","±2.9","±2.9","±2.9","±239","","±4.5","±5.7","±2.3","±6.6","±2.8","±7.9","±4.3","±4.7","±1.6","±6.4","","±3.1","±3.9","±10.9","±4.2","±3.1","±8.9","±4.9","±5.7","±5.4","±4.4","","±263","±4.3","±14.4","±9.7","±13.6","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
