STATE,STATEA,COUNTY,COUNTYA,COUSUB,COUSUBA,GEO_ID,TL_GEO_ID,NAME_E,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone, Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,   Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some other race alone,Hispanic or Latino: Two or more races,,Total: Worked in county of residence ,Worked outside county of residence,Worked outside state of residence,All Commuters," Car, truck, or van","Car, truck, or van: Drove alone","Car, truck, or van: Carpooled",Public Transportation,Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar or trolley ",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked from home,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,Total Educational Attainment Population,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Median earnings in the past 12 months (Total),Median earnings in the past 12 months (Male),Median earnings in the past 12 months (Female)
California,6,Contra Costa County,13,West Contra Costa CCD,93620,0600000US0601393620,601393620,"West Contra Costa CCD, Contra Costa County, California",267919,71401,35837,3622,50725,1334,63836,41164,104124,10608,1169,3255,660,106,61596,26730,129535,65166,64114,255,129535,93479,78696,14783,11778,4063,5985,885,270,575,608,270,775,1804,1982,18839,1900,6361,9738,12274,13358,5354,16324,3983,6931,13472,15065,5936,189712,7268,206,193,132,402,796,672,1082,4714,635,1309,2762,1630,2361,6272,33363,4439,10870,26536,14445,42688,18612,3946,4379,49440,54648,43743
California,6,Del Norte County,15,Crescent City CCD,90620,0600000US0601590620,601590620,"Crescent City CCD, Del Norte County, California",22564,15269,677,1073,797,119,1911,2718,4682,1436,0,207,35,0,1754,1250,8324,7733,109,482,8324,7187,5646,1541,0,0,0,0,0,0,0,57,9,348,92,631,706,2675,1838,866,399,112,448,131,83,80,47,308,16271,256,0,0,0,37,71,0,0,255,0,92,411,320,483,673,3258,801,1570,3078,1487,2157,890,311,121,37192,39394,34989
California,6,Del Norte County,15,Klamath CCD,91490,0600000US0601591490,601591490,"Klamath CCD, Del Norte County, California",934,388,35,389,13,0,10,99,95,11,0,8,0,0,10,66,234,210,24,0,234,167,144,23,7,7,0,0,0,0,0,0,0,13,0,47,12,36,30,32,16,0,38,2,7,6,8,0,711,0,0,0,0,0,0,3,0,0,3,9,13,13,31,15,161,38,66,172,57,96,25,0,9,15000,19167,14531
California,6,Del Norte County,15,Smith River-Gasquet CCD,93040,0600000US0601593040,601593040,"Smith River-Gasquet CCD, Del Norte County, California",3795,2659,93,449,46,0,336,212,573,201,0,10,0,0,307,55,1464,1266,45,153,1464,1348,1280,68,34,34,0,0,0,0,0,0,0,11,0,71,169,159,177,350,184,108,95,8,46,93,4,0,2871,0,0,0,0,0,0,0,1,0,0,111,0,10,7,56,696,124,265,589,457,287,148,48,72,38226,72883,30505
California,6,El Dorado County,17,North El Dorado CCD,92190,0600000US0601792190,601792190,"North El Dorado CCD, El Dorado County, California",32171,27246,315,282,862,98,585,2783,3887,1508,9,145,88,0,317,1820,13301,8523,4700,78,13301,10625,9666,959,0,0,0,0,0,0,0,10,0,152,291,2223,126,1065,1084,1228,1273,412,1649,433,472,1517,1094,725,24567,349,0,13,0,9,0,0,80,16,0,48,167,154,61,479,5803,908,2183,4277,2826,4655,1768,619,152,46715,56205,43034
California,6,El Dorado County,17,Placerville CCD,92490,0600000US0601792490,601792490,"Placerville CCD, El Dorado County, California",17672,14873,148,119,159,23,1059,1291,3394,1711,0,27,0,23,1043,590,8224,6758,1466,0,8224,6745,5750,995,37,30,7,0,0,0,0,0,0,50,67,1325,138,805,1428,1009,900,527,364,143,121,811,396,257,13411,303,0,0,0,0,75,0,144,89,92,12,45,66,120,247,3121,347,1217,2359,1485,2486,765,266,172,39342,45684,30778
California,6,El Dorado County,17,South El Dorado CCD,93150,0600000US0601793150,601793150,"South El Dorado CCD, El Dorado County, California",112186,89483,1022,477,7419,63,3410,10312,12897,5410,91,87,327,0,2893,4089,48077,28621,18938,518,48077,36599,33507,3092,140,117,3,0,7,13,13,53,110,531,358,10273,1045,3320,5022,4561,4946,2505,4968,1625,1890,3404,2476,2042,81057,363,22,0,0,0,0,23,0,120,11,113,206,353,517,1018,12810,1829,6118,13277,9029,23206,8080,2509,1453,65112,83916,50820
California,6,El Dorado County,17,South Lake Tahoe CCD,93160,0600000US0601793160,601793160,"South Lake Tahoe CCD, El Dorado County, California",30270,22030,159,311,1642,57,2837,3234,7052,2456,22,106,27,0,2711,1730,16325,12040,1880,2405,16325,11818,10194,1624,253,253,0,0,0,0,33,53,419,942,138,2669,818,3218,3360,2780,1325,377,545,41,123,339,369,361,22797,181,8,0,0,32,69,41,75,169,80,183,139,313,176,429,4087,500,1527,3820,2034,6166,1809,683,276,45683,49386,41601
California,6,Fresno County,19,Caruthers-Raisin City CCD,90390,0600000US0601990390,601990390,"Caruthers-Raisin City CCD, Fresno County, California",8875,3692,300,10,197,0,3321,1355,6219,1618,8,10,0,0,3299,1284,3322,3172,150,0,3322,2840,2508,332,0,0,0,0,0,0,0,19,4,122,15,322,263,260,329,226,549,223,550,103,205,240,31,21,5366,310,0,0,77,35,24,39,45,422,0,95,205,366,117,153,1339,124,349,662,323,470,177,31,3,33920,41395,24775
California,6,Fresno County,19,Coalinga CCD,90530,0600000US0601990530,601990530,"Coalinga CCD, Fresno County, California",18743,6957,760,437,505,100,6530,3454,12473,2558,3,329,5,18,6445,3115,5370,4414,940,16,5370,4826,4348,478,0,0,0,0,0,0,0,0,0,138,38,368,491,1411,589,494,420,274,432,18,115,294,402,62,12415,658,0,0,67,84,163,126,19,528,125,155,472,445,655,467,2554,729,825,1863,979,920,423,23,135,36599,39306,33925
California,6,Fresno County,19,Firebaugh CCD,91000,0600000US0601991000,601991000,"Firebaugh CCD, Fresno County, California",9718,2288,17,93,12,0,5974,1334,9175,1817,0,78,0,0,5974,1306,2879,2329,550,0,2879,2716,2491,225,0,0,0,0,0,0,0,0,0,56,37,70,136,368,806,330,80,25,394,0,36,469,140,25,5419,412,0,13,0,38,342,130,0,733,115,238,577,370,20,103,1123,143,339,255,220,187,46,15,0,27787,30480,19301
California,6,Fresno County,19,Fowler CCD,91060,0600000US0601991060,601991060,"Fowler CCD, Fresno County, California",11722,4971,244,77,1473,1,2628,2328,7613,2783,0,58,39,0,2604,2129,4665,4476,189,0,4665,4252,3546,706,0,0,0,0,0,0,0,15,25,14,126,233,120,456,646,805,814,253,769,61,43,303,126,36,6997,367,0,0,8,9,121,92,90,291,0,191,204,80,98,182,1271,285,469,916,692,1130,380,90,31,39828,45734,30363
California,6,Fresno County,19,Fresno CCD,91080,0600000US0601991080,601991080,"Fresno CCD, Fresno County, California",742371,311965,40933,10224,102271,1383,117795,157800,351665,94257,2100,7006,2291,195,114530,131286,312738,290151,21998,589,312738,266134,232092,34042,3374,3151,85,81,34,23,326,454,1195,4270,4006,32979,4983,24532,40910,63912,57527,20531,34442,4679,4949,10350,7358,5586,466073,19160,87,307,465,778,2436,1705,1515,8133,1683,4474,6275,11622,8263,15097,89938,14179,33913,74740,44583,82969,28354,10485,4912,40347,45235,35614
California,6,Fresno County,19,Huron CCD,91360,0600000US0601991360,601991360,"Huron CCD, Fresno County, California",7137,665,125,319,0,0,3572,2456,6905,584,53,240,0,0,3572,2456,2600,1949,651,0,2600,2245,1770,475,26,26,0,0,0,0,0,0,0,62,49,218,156,162,176,413,496,113,392,0,9,228,234,3,3891,396,0,21,20,33,290,168,114,560,93,145,244,69,215,56,656,31,83,391,183,114,9,0,0,25116,35236,12470
California,6,Fresno County,19,Kerman CCD,91460,0600000US0601991460,601991460,"Kerman CCD, Fresno County, California",25163,7233,215,222,1257,14,8454,7768,19493,3451,4,197,0,5,8437,7399,9322,8512,787,23,9322,8351,7240,1111,1,1,0,0,0,0,0,0,73,196,238,463,348,1597,701,825,1089,433,2085,431,485,314,450,101,14381,1356,2,9,169,165,472,113,218,541,175,368,279,609,402,634,3143,253,722,1656,925,1581,413,112,64,33980,40042,22700
California,6,Fresno County,19,Kingsburg CCD,91480,0600000US0601991480,601991480,"Kingsburg CCD, Fresno County, California",14002,9062,76,134,929,0,1486,2315,6202,2546,47,100,0,0,1441,2068,5756,4240,1516,0,5756,5375,4941,434,0,0,0,0,0,0,0,0,19,46,29,287,437,1210,509,526,545,352,769,192,260,312,231,126,9355,145,0,0,0,41,39,11,62,228,23,54,186,124,266,308,2230,209,777,1586,1158,1266,427,67,148,41850,56267,37108
California,6,Fresno County,19,Laton CCD,91570,0600000US0601991570,601991570,"Laton CCD, Fresno County, California",2879,1412,26,224,5,0,597,615,1983,610,0,224,0,0,597,552,1153,808,345,0,1153,917,879,38,39,16,0,0,23,0,0,0,26,94,17,60,229,75,28,45,284,47,210,19,42,94,7,13,1714,46,0,0,0,6,0,21,58,48,23,62,0,82,88,49,391,45,236,220,120,128,42,32,17,35914,37708,33929
California,6,Fresno County,19,Mendota CCD,91950,0600000US0601991950,601991950,"Mendota CCD, Fresno County, California",14929,4309,248,102,74,0,7033,3163,14206,3902,57,51,0,0,7033,3163,4645,4115,530,0,4645,3941,2550,1391,3,3,0,0,0,0,51,0,11,29,251,359,155,554,436,301,640,0,505,26,202,395,709,363,8114,731,0,0,0,220,256,371,174,1154,110,263,400,517,211,361,1615,387,225,531,220,306,56,6,0,23132,26645,17575
California,6,Fresno County,19,Orange Cove CCD,92270,0600000US0601992270,601992270,"Orange Cove CCD, Fresno County, California",10116,2979,123,18,87,0,3671,3238,9512,2675,0,18,0,0,3650,3169,3321,2147,1174,0,3321,3117,2147,970,1,0,0,1,0,0,0,0,0,83,108,12,42,196,316,268,386,84,875,230,109,620,139,44,5449,785,25,0,63,77,52,145,231,628,88,77,114,130,90,184,924,83,179,605,349,454,166,0,0,25360,30607,21727
California,6,Fresno County,19,Parlier-Del Rey CCD,92390,0600000US0601992390,601992390,"Parlier-Del Rey CCD, Fresno County, California",19288,6800,50,44,200,0,8373,3821,17874,5739,0,44,10,0,8295,3786,7379,6565,786,28,7379,7035,5584,1451,28,28,0,0,0,0,0,0,0,47,11,258,181,542,1207,1444,1112,643,840,131,301,486,126,108,10806,873,0,115,52,149,337,145,254,1150,209,240,424,229,61,306,2834,236,657,1113,605,625,89,100,3,27261,31043,21697
California,6,Fresno County,19,Reedley CCD,92600,0600000US0601992600,601992600,"Reedley CCD, Fresno County, California",30629,14020,435,289,639,6,9762,5478,23167,8418,7,233,35,0,9569,4905,11942,9391,2551,0,11942,10869,8947,1922,0,0,0,0,0,0,0,0,4,245,164,660,314,1656,1808,1015,1431,779,1474,507,428,1137,502,231,18680,1452,0,27,98,75,229,175,168,1013,131,491,575,207,429,811,3475,324,985,2596,2113,1982,902,299,123,31437,35233,28148
California,6,Fresno County,19,Riverdale CCD,92630,0600000US0601992630,601992630,"Riverdale CCD, Fresno County, California",5425,1900,11,14,129,0,2408,963,4211,687,10,14,129,0,2408,963,2201,1833,368,0,2201,1982,1843,139,0,0,0,0,0,0,0,0,0,139,0,80,303,367,142,175,143,194,354,51,146,102,142,2,3209,352,0,0,0,325,47,25,82,239,0,71,99,123,18,46,994,57,74,303,188,118,48,0,0,34708,39167,21944
California,6,Fresno County,19,Sanger CCD,92800,0600000US0601992800,601992800,"Sanger CCD, Fresno County, California",37066,17093,193,910,1855,197,10495,6323,24244,6983,0,793,64,0,10460,5944,14830,13494,1246,90,14830,13452,12189,1263,46,46,0,0,0,0,0,0,0,231,186,915,378,1976,1159,1691,2436,1793,2163,434,289,243,873,480,23505,1050,0,10,82,254,421,101,173,748,138,339,295,434,421,793,4981,1178,1643,4379,2056,2744,1043,196,26,38238,43059,35394
California,6,Fresno County,19,San Joaquin-Tranquillity CCD,92820,0600000US0601992820,601992820,"San Joaquin-Tranquillity CCD, Fresno County, California",5812,1236,185,34,0,0,3219,1138,5425,1091,0,34,0,0,3219,1081,1629,1434,195,0,1629,1437,1235,202,0,0,0,0,0,0,0,0,0,30,19,143,108,233,202,93,262,39,348,29,0,79,93,0,3222,137,0,0,73,76,130,58,44,584,50,23,146,77,90,97,813,71,42,513,102,96,0,0,0,31250,35914,24214
California,6,Fresno County,19,Selma CCD,92990,0600000US0601992990,601992990,"Selma CCD, Fresno County, California",30187,13452,294,539,982,26,9251,5643,23475,8779,40,523,0,0,8784,5349,12246,11007,1196,43,12246,11017,9772,1245,60,60,0,0,0,0,0,0,269,119,25,756,294,1378,1557,1810,1614,936,1756,300,372,805,323,345,19256,1409,0,14,99,112,221,114,140,921,144,465,469,202,362,534,4717,523,1353,3270,1819,1521,698,106,43,34921,37296,30520
California,6,Fresno County,19,Sierra CCD,93010,0600000US0601993010,601993010,"Sierra CCD, Fresno County, California",18090,13262,157,346,770,2,1159,2394,3827,1499,3,10,3,0,1103,1209,7267,6501,684,82,7267,5975,4583,1392,7,7,0,0,0,0,0,0,0,296,73,916,135,531,339,572,423,521,648,347,449,1338,617,431,13333,237,0,0,0,0,18,2,0,153,2,31,67,45,207,390,2978,441,994,2946,1207,2321,794,224,276,52843,56811,44008
California,6,Glenn County,21,Orland CCD,92280,0600000US0602192280,602192280,"Orland CCD, Glenn County, California",18553,10987,0,317,300,0,4424,2525,9360,2738,0,175,0,0,4402,2045,8004,5074,2899,31,8004,7174,6190,984,0,0,0,0,0,0,0,0,38,104,87,601,336,932,892,1548,931,322,1222,162,298,390,231,139,11785,363,0,20,56,44,203,134,186,265,32,183,294,153,55,394,3636,258,723,1923,1087,1334,344,66,32,40375,45000,35128
California,6,Glenn County,21,Willows CCD,93750,0600000US0602193750,602193750,"Willows CCD, Glenn County, California",10070,6133,158,122,477,22,1545,1613,3272,464,0,61,0,0,1530,1217,4519,3500,1019,0,4519,3839,3333,506,0,0,0,0,0,0,0,0,0,131,211,338,501,1170,742,197,253,148,228,40,368,238,207,89,6841,225,0,0,60,0,75,0,44,102,14,159,122,135,33,314,1694,265,619,998,688,980,145,111,58,38083,42271,31317
California,6,Humboldt County,23,Arcata CCD,90100,0600000US0602390100,602390100,"Arcata CCD, Humboldt County, California",24987,19215,459,307,508,120,1432,2946,3434,742,61,166,0,36,1141,1288,12018,11866,105,47,12018,8618,7555,1063,146,146,0,0,0,0,101,48,183,1215,77,1630,530,1976,2505,2209,1260,412,566,72,235,220,167,236,15071,179,0,0,0,0,0,0,10,30,0,29,135,45,119,295,1666,488,925,2818,1506,4107,1756,639,324,25105,27261,24219
California,6,Humboldt County,23,Eureka CCD,90930,0600000US0602390930,602390930,"Eureka CCD, Humboldt County, California",48548,35592,874,831,2346,176,3139,5590,6924,1950,134,138,149,18,2809,1726,21470,21119,351,0,21470,17413,14298,3115,186,179,7,0,0,0,0,44,250,1015,214,2348,1181,4224,4252,3428,2281,656,2045,40,124,443,209,239,35115,591,0,0,0,40,97,24,0,221,17,283,218,356,557,875,7194,1298,3170,5527,3686,7322,2530,636,473,35340,39142,30202
California,6,Humboldt County,23,Ferndale CCD,90980,0600000US0602390980,602390980,"Ferndale CCD, Humboldt County, California",3647,2667,32,51,72,0,171,654,679,269,0,16,0,0,79,315,1534,1534,0,0,1534,1184,1060,124,0,0,0,0,0,0,0,0,0,27,68,255,131,130,63,261,159,105,275,20,10,102,10,13,2697,1,0,0,0,0,0,0,0,10,0,9,32,43,45,90,636,51,225,655,268,416,139,60,17,36337,42276,28813
California,6,Humboldt County,23,Fortuna CCD,91050,0600000US0602391050,602391050,"Fortuna CCD, Humboldt County, California",18887,13822,135,671,449,0,1537,2273,3225,557,3,177,0,0,1494,994,7757,7686,58,13,7757,6545,5674,871,84,84,0,0,0,0,0,37,101,269,16,705,611,1810,946,877,530,307,725,196,195,258,276,321,12967,126,14,0,0,0,148,8,13,89,0,72,146,144,376,279,3247,370,1347,2256,1216,2200,651,225,40,37915,45138,27857
California,6,Humboldt County,23,Garberville CCD,91100,0600000US0602391100,602391100,"Garberville CCD, Humboldt County, California",11864,9071,147,368,124,0,776,1378,1859,351,0,273,0,0,736,499,4730,4452,278,0,4730,3591,2897,694,0,0,0,0,0,0,0,0,0,384,75,680,369,512,867,818,215,122,261,101,70,443,272,0,8283,60,0,0,0,3,0,0,0,97,0,46,0,361,275,156,2502,199,754,1844,833,792,190,115,56,27787,31333,23750
California,6,Humboldt County,23,North Coastal CCD,92170,0600000US0602392170,602392170,"North Coastal CCD, Humboldt County, California",23197,17572,73,920,630,16,750,3236,2454,708,0,112,0,0,685,949,9405,9091,258,56,9405,7911,7059,852,55,44,11,0,0,0,0,14,21,127,167,1110,345,1115,1632,1319,1286,759,830,50,76,377,240,266,16482,41,0,0,0,0,9,0,5,0,11,4,93,116,282,334,2637,560,1369,2994,1434,4215,1386,531,461,38538,46411,31894
California,6,Humboldt County,23,Willow Creek-Hoopa Valley CCD,93745,0600000US0602393745,602393745,"Willow Creek-Hoopa Valley CCD, Humboldt County, California",4288,1753,1,1941,121,52,102,318,169,0,0,87,0,0,67,15,1373,1295,78,0,1373,1093,911,182,4,4,0,0,0,0,0,0,0,80,3,193,174,325,103,239,130,46,39,57,0,27,31,9,2880,0,0,0,0,0,0,0,55,6,0,32,10,32,122,14,846,32,248,620,146,469,246,2,0,35357,36029,31897
California,6,Imperial County,25,Brawley CCD,90260,0600000US0602590260,602590260,"Brawley CCD, Imperial County, California",27831,10770,277,525,364,3,8936,6956,23425,7175,147,411,25,0,8935,6732,9303,8786,419,98,9303,7847,7115,732,80,80,0,0,0,0,68,0,62,139,278,829,496,1723,1642,1203,906,457,1380,163,110,67,125,202,16474,944,0,55,30,54,89,58,46,641,67,503,574,347,389,432,3575,674,1094,3168,1448,1775,379,71,61,36279,42380,29944
California,6,Imperial County,25,Calexico CCD,90320,0600000US0602590320,602590320,"Calexico CCD, Imperial County, California",38579,10731,64,315,567,6,16425,10471,37600,10293,0,290,121,0,16425,10471,12309,11038,667,604,12309,10533,9775,758,177,177,0,0,0,0,0,4,81,447,174,893,467,1222,1297,1390,2444,935,1959,135,268,397,477,425,24034,1581,0,48,80,154,357,83,144,1406,322,868,1441,454,482,969,3618,1099,1044,2995,1774,3895,723,473,24,26714,32809,22757
California,6,Imperial County,25,Calipatria-Westmorland CCD,90330,0600000US0602590330,602590330,"Calipatria-Westmorland CCD, Imperial County, California",10728,3370,887,121,273,7,3557,2513,8685,2457,35,86,116,4,3549,2438,2770,2619,41,110,2770,2262,2134,128,15,15,0,0,0,0,0,0,0,236,95,162,134,593,313,575,140,120,362,47,103,75,82,64,7342,66,0,0,45,0,55,167,43,309,54,122,435,466,761,334,1660,445,656,1086,304,231,67,0,36,29585,32917,27139
California,6,Imperial County,25,East Imperial CCD,90790,0600000US0602590790,602590790,"East Imperial CCD, Imperial County, California",666,463,83,11,8,0,39,62,55,24,0,11,8,0,12,0,151,114,37,0,151,111,103,8,0,0,0,0,0,0,0,0,0,29,0,11,19,28,8,5,0,0,4,0,0,0,76,0,587,16,0,0,0,0,0,0,19,12,0,25,9,6,0,0,203,7,14,94,109,69,4,0,0,27250,-666666666,21908
California,6,Imperial County,25,El Centro CCD,90860,0600000US0602590860,602590860,"El Centro CCD, Imperial County, California",64117,17548,2246,588,693,10,26572,16460,55077,11969,289,567,113,9,26518,15612,24468,22921,1129,418,24468,22314,19523,2791,0,0,0,0,0,0,76,90,0,440,302,1246,652,3964,4881,5803,2539,1312,1793,144,250,488,540,856,38721,1698,0,0,24,170,568,202,70,1446,237,471,2172,604,884,940,9125,1230,1758,7271,3249,4540,1607,372,83,32582,37332,26947
California,6,Imperial County,25,Holtville CCD,91310,0600000US0602591310,602591310,"Holtville CCD, Imperial County, California",7822,2535,72,45,53,0,3626,1491,6040,1013,0,45,0,0,3624,1358,2889,2801,88,0,2889,2712,2376,336,0,0,0,0,0,0,0,20,0,69,0,88,363,258,175,292,625,323,491,14,58,100,47,55,4758,316,0,0,0,21,82,0,65,177,5,15,353,115,68,155,1223,25,294,828,315,524,142,20,15,32364,37143,30407
California,6,Imperial County,25,Imperial CCD,91380,0600000US0602591380,602591380,"Imperial CCD, Imperial County, California",17290,5898,162,149,702,0,4262,6117,14823,4278,0,134,32,0,4262,6117,5782,5188,530,64,5782,4987,4102,885,0,0,0,0,0,0,0,0,0,248,0,547,87,623,1150,862,917,242,523,79,101,497,118,36,9958,196,0,0,0,0,0,0,0,94,0,148,285,432,363,195,1973,266,847,2076,951,1357,430,137,208,50893,58878,36826
California,6,Imperial County,25,West Imperial CCD,93630,0600000US0602593630,602593630,"West Imperial CCD, Imperial County, California",10491,2717,669,96,36,5,4246,2722,7411,406,54,56,0,0,4241,2654,2028,604,1424,0,2028,1865,1797,68,0,0,0,0,0,0,0,0,0,38,0,125,17,62,152,196,465,102,230,18,174,316,165,6,7663,92,0,0,0,103,49,33,173,312,48,299,442,514,682,108,2299,789,283,643,367,226,67,134,0,28577,28953,24656
California,6,Imperial County,25,Winterhaven-Bard CCD,93760,0600000US0602593760,602593760,"Winterhaven-Bard CCD, Imperial County, California",1795,527,0,1007,6,0,39,216,344,50,0,60,0,0,37,197,449,268,0,181,449,386,347,39,11,11,0,0,0,0,9,0,10,17,16,0,34,92,114,84,41,0,39,0,0,18,16,11,1045,11,0,0,0,0,0,0,3,8,0,4,23,12,28,55,361,53,58,212,83,114,20,0,0,32917,39000,25217
California,6,Inyo County,27,Bishop CCD,90250,0600000US0602790250,602790250,"Bishop CCD, Inyo County, California",13403,8648,117,1332,298,42,1016,1950,3397,725,70,397,44,0,907,1254,6212,5599,606,7,6212,4759,4019,740,64,64,0,0,0,0,0,0,212,336,54,787,866,1706,989,502,201,53,170,57,194,566,111,10,9625,13,0,0,3,0,15,0,0,90,2,98,45,144,69,205,1891,445,876,1446,787,2248,978,98,172,51909,56529,49276
California,6,Inyo County,27,Death Valley CCD,90650,0600000US0602790650,602790650,"Death Valley CCD, Inyo County, California",1022,699,0,45,16,123,3,136,161,39,0,3,0,0,3,116,490,490,0,0,490,326,323,3,10,10,0,0,0,0,0,0,0,71,0,83,231,90,54,7,19,6,0,0,0,0,0,0,892,0,0,0,0,0,0,0,4,0,0,11,0,0,23,0,234,53,45,92,45,219,166,0,0,37207,44000,34821
California,6,Inyo County,27,Independence CCD,91390,0600000US0602791390,602791390,"Independence CCD, Inyo County, California",2450,1588,62,359,14,3,166,258,345,75,0,16,0,0,164,90,912,814,71,27,912,700,610,90,2,2,0,0,0,0,0,0,4,43,12,151,122,48,50,84,324,11,19,9,2,30,60,2,1829,34,0,0,0,4,0,0,0,13,3,21,19,23,20,10,461,104,112,478,170,158,163,5,31,46311,42288,47321
California,6,Inyo County,27,Lone Pine CCD,91720,0600000US0602791720,602791720,"Lone Pine CCD, Inyo County, California",1928,1219,3,212,13,0,71,410,566,221,0,0,0,0,71,274,713,606,103,4,713,677,486,191,4,4,0,0,0,0,0,0,7,13,0,12,127,86,116,149,52,4,20,0,93,0,40,14,1551,40,0,0,0,0,0,0,0,0,2,3,7,4,58,17,480,141,181,359,75,134,31,4,15,48883,47065,49496
California,6,Kern County,29,Arvin-Lamont CCD,90130,0600000US0602990130,602990130,"Arvin-Lamont CCD, Kern County, California",38677,16459,466,302,358,0,11041,10051,36056,14747,147,284,8,0,10938,9932,13613,13193,410,10,13613,13047,10513,2534,39,31,0,8,0,0,0,0,0,63,20,444,259,1034,1139,2949,3069,1008,1992,148,267,770,275,259,20462,1943,15,16,105,353,670,315,1199,2475,328,1330,996,346,494,975,4357,382,569,1832,910,665,153,15,19,25151,27733,21889
California,6,Kern County,29,Bakersfield CCD,90180,0600000US0602990180,602990180,"Bakersfield CCD, Kern County, California",428304,205717,25824,5831,16382,868,88486,85196,256656,89733,1848,4412,883,385,85908,73487,165963,159940,5713,310,165963,150654,133529,17125,1347,1285,3,32,18,9,96,124,237,1668,1991,9846,2831,13442,24727,34512,30693,11334,19790,1679,2384,5467,4352,4906,257792,10308,35,101,523,960,2052,1543,1783,8269,2092,5135,5147,4570,7588,10527,65241,8615,19426,40823,19357,28794,10618,2930,1355,34496,39643,28934
California,6,Kern County,29,Buttonwillow CCD,90300,0600000US0602990300,602990300,"Buttonwillow CCD, Kern County, California",3313,1814,18,0,0,0,666,815,2246,901,0,0,0,0,652,693,1247,1209,38,0,1247,1154,1077,77,0,0,0,0,0,0,0,0,0,5,11,77,31,72,188,129,207,51,210,9,27,140,45,61,1822,83,0,0,65,8,22,11,52,126,28,70,68,69,29,50,553,49,72,238,90,95,0,44,0,33446,35599,30688
California,6,Kern County,29,Delano-McFarland CCD,90655,0600000US0602990655,602990655,"Delano-McFarland CCD, Kern County, California",68482,17564,2209,616,7170,31,14377,26515,54630,13586,132,537,132,0,14163,26080,24883,21873,2954,56,24883,23737,18469,5268,0,0,0,0,0,0,9,8,17,341,102,669,485,3584,5629,5178,2487,871,2383,496,826,1078,778,419,41875,2545,0,25,71,185,1005,588,824,3837,461,1019,1084,1180,1767,1453,11814,1724,2079,4695,2458,2427,545,74,15,27167,30829,22519
California,6,Kern County,29,East Kern CCD,90800,0600000US0602990800,602990800,"East Kern CCD, Kern County, California",83770,45848,9684,1246,2473,143,11769,12607,26576,6936,389,911,75,25,11152,7088,32391,25067,7324,0,32391,28364,25007,3357,40,18,0,0,0,22,33,63,144,489,369,2889,1315,4066,4960,4104,3699,2060,3799,459,663,1219,1669,1489,53674,1304,19,9,0,72,179,41,313,725,84,424,417,700,1381,1853,12062,2504,4668,9179,5819,8045,3310,208,358,41933,51834,33394
California,6,Kern County,29,Greenfield-Panama CCD,91160,0600000US0602991160,602991160,"Greenfield-Panama CCD, Kern County, California",75554,31676,4037,695,12411,108,11599,15028,41198,15356,200,414,294,5,11368,13561,33412,31608,1381,423,33412,29502,25851,3651,88,88,0,0,0,0,117,0,26,47,217,3415,99,1448,3576,8177,7309,2492,2777,399,752,1044,682,1242,43615,1514,0,0,4,47,323,86,167,946,281,605,838,683,925,1746,9326,1355,2726,6540,3430,8354,2326,913,480,46366,57335,36169
California,6,Kern County,29,Lake Isabella CCD,91520,0600000US0602991520,602991520,"Lake Isabella CCD, Kern County, California",14952,12320,57,199,211,82,1061,1022,1882,461,0,21,0,0,1053,347,3666,3544,122,0,3666,2973,2571,402,0,0,0,0,0,0,0,59,0,138,9,487,310,378,597,627,224,56,191,1,82,165,332,216,11652,148,0,0,0,0,0,0,15,51,0,136,121,109,361,245,3741,704,1372,1680,1137,1416,215,144,57,26825,41691,23139
California,6,Kern County,29,Rosedale CCD,92650,0600000US0602992650,602992650,"Rosedale CCD, Kern County, California",80012,52622,1841,874,5291,179,4885,14320,23718,8168,70,623,211,0,4729,9917,36439,34853,1449,137,36439,33244,30463,2781,20,20,0,0,0,0,0,42,12,107,277,2737,640,2790,3594,7374,7688,2692,3725,730,872,1018,1242,1337,50758,817,1,0,0,0,37,14,100,247,77,442,60,282,646,970,9213,1221,5183,8723,4949,10895,4874,1468,539,60114,76557,41472
